GAME
{
	// PDA belongs to Brian Howe

	// Inbox

	"MailFrom1"	"От: Хелен Янг"
	"MailDate1"	"Дата: 19.12.52"
	"MailSubject1"	"Тема: Эусоциальность"
	"MailBody1A"	"Результаты исследований роя:"
	"MailBody1B"	"Мы проверили анализы. Все модели роста, продолжительности жизни и метаболизма работают только применительно ко всей популяции, а не к отдельным индивидуумам."
	"MailBody1C"	"В некотором смысле они похожи на продвинутый улей насекомых, единый продвинутый суперорганизм. Сдерживание этого процесса жизненно необходимо."

	// Sent

	"MailFrom3"	"Кому: Хелен Янг"
	"MailDate3"	"Дата: 19.12.52"
	"MailSubject3"	"Тема: На: ??!"
	"MailBody3A"	"Структурированная социальность?"
	"MailBody3B"	"Среди крупнотелых организмов? Я всё ещё настроен скептически."
	"MailBody3C"	"Хотя нет никаких сомнений, что яйца опасны. Сегодня у нас был несчастный случай. Один из рабочих был найден мёртвым."
	"MailBody3D"	"Согласен, сдерживание жизненно важно, но я не предвижу трудностей."
}
