GAME
{
// PDA belongs to Lucius Pawn

// Inbox

"MailFrom1"	"От: Уиндом Кинг"
"MailDate1"	"Дата: 29.02.53"
"MailSubject1"	"Тема: Безопасность"
"MailBody1A"	"Я что-то увидел на своих мониторах. Не знаю, что бы это могло быть. Докладывай мне обо всём, что увидишь."
"MailBody1B"	"Анат опять думает, что это шпион... Может быть, шпион-коммандос, упавший с орбиты?"
"MailBody1C"	"Этот парень выводит меня из себя своими историями."
"MailBody1D"	"У. Кинг - Начальник службы безопасности"

"MailFrom2"	"От: Лана Кинг"
"MailDate2"	"Дата: 29.02.53"
"MailSubject2"	"Тема: Кофеварка???"
"MailBody2A"	"Я приду, чтобы посмотреть что случилось с кофеваркой."
"MailBody2B"	"Она действительно сломана, или ты просто хочешь уединиться где-то вместе?"
"MailBody2C"	""
"MailBody2D"	"С любовью, Лана"

// Sent

"MailFrom3"	"Кому: Уиндом Кинг"
"MailDate3"	"Дата: 29.02.53"
"MailSubject3"	"Тема: На: Безопасность"
"MailBody3A"	"Да сэр, буду докладывать обо всём."
"MailBody3B"	"До сих пор единственная вещь, которая у нас барахлит, наша кофеварка. Думаете, шпион Аната саботировал её? :)"
"MailBody3C"	"Ваша дочь сегодня дежурит? Кофеварке пригодились бы её навыки по ремонту."
"MailBody3D"	"Люциус Паун - Офицер службы безопасности"
}
